title,description,error_code,bug_category,bug_domain,tech_stack,severity,environment,developer_role,root_cause,suggested_fix,explanation,created_at
performance bug detected in system,this issue relates to a performance bug occurring in the application.,404.0,performance bug,mobile,node.js,medium,staging,full-stack developer,misconfiguration or logic issue related to performance bug,review and fix the performance bug according to best practices,this bug requires a full-stack developer due to its nature.,2025-08-20
database bug detected in system,this issue relates to a database bug occurring in the application.,503.0,database bug,mobile,gcp,high,production,security engineer,misconfiguration or logic issue related to database bug,review and fix the database bug according to best practices,this bug requires a security engineer due to its nature.,2025-05-08
frontend routing bug detected in system,this issue relates to a frontend routing bug occurring in the application.,500.0,frontend routing bug,web development,postgresql,critical,production,data engineer,misconfiguration or logic issue related to frontend routing bug,review and fix the frontend routing bug according to best practices,this bug requires a data engineer due to its nature.,2025-03-07
ui bug detected in system,this issue relates to a ui bug occurring in the application.,502.0,ui bug,data,react,medium,production,frontend developer,misconfiguration or logic issue related to ui bug,review and fix the ui bug according to best practices,this bug requires a frontend developer due to its nature.,2025-06-11
api bug detected in system,this issue relates to a api bug occurring in the application.,503.0,api bug,mobile,aws,medium,staging,full-stack developer,misconfiguration or logic issue related to api bug,review and fix the api bug according to best practices,this bug requires a full-stack developer due to its nature.,2025-04-20
cloud configuration bug detected in system,this issue relates to a cloud configuration bug occurring in the application.,403.0,cloud configuration bug,web development,django,high,development,cloud engineer,misconfiguration or logic issue related to cloud configuration bug,review and fix the cloud configuration bug according to best practices,this bug requires a cloud engineer due to its nature.,2025-05-03
api bug detected in system,this issue relates to a api bug occurring in the application.,500.0,api bug,backend systems,mongodb,critical,development,qa engineer,misconfiguration or logic issue related to api bug,review and fix the api bug according to best practices,this bug requires a qa engineer due to its nature.,2025-05-29
concurrency bug detected in system,this issue relates to a concurrency bug occurring in the application.,400.0,concurrency bug,cloud,vue,medium,staging,frontend developer,misconfiguration or logic issue related to concurrency bug,review and fix the concurrency bug according to best practices,this bug requires a frontend developer due to its nature.,2025-05-14
backend logic bug detected in system,this issue relates to a backend logic bug occurring in the application.,401.0,backend logic bug,devops,django,high,staging,full-stack developer,misconfiguration or logic issue related to backend logic bug,review and fix the backend logic bug according to best practices,this bug requires a full-stack developer due to its nature.,2025-10-29
authentication bug detected in system,this issue relates to a authentication bug occurring in the application.,503.0,authentication bug,devops,angular,low,staging,mobile developer,misconfiguration or logic issue related to authentication bug,review and fix the authentication bug according to best practices,this bug requires a mobile developer due to its nature.,2026-01-16
database bug detected in system,this issue relates to a database bug occurring in the application.,404.0,database bug,cloud,mysql,low,staging,backend developer,misconfiguration or logic issue related to database bug,review and fix the database bug according to best practices,this bug requires a backend developer due to its nature.,2025-07-25
logging bug detected in system,this issue relates to a logging bug occurring in the application.,400.0,logging bug,web development,mongodb,low,development,devops engineer,misconfiguration or logic issue related to logging bug,review and fix the logging bug according to best practices,this bug requires a devops engineer due to its nature.,2025-05-30
deployment bug detected in system,this issue relates to a deployment bug occurring in the application.,403.0,deployment bug,backend systems,laravel,high,staging,mobile developer,misconfiguration or logic issue related to deployment bug,review and fix the deployment bug according to best practices,this bug requires a mobile developer due to its nature.,2025-02-26
performance bug detected in system,this issue relates to a performance bug occurring in the application.,403.0,performance bug,backend systems,azure,critical,production,mobile developer,misconfiguration or logic issue related to performance bug,review and fix the performance bug according to best practices,this bug requires a mobile developer due to its nature.,2025-08-11
concurrency bug detected in system,this issue relates to a concurrency bug occurring in the application.,404.0,concurrency bug,mobile,angular,high,production,cloud engineer,misconfiguration or logic issue related to concurrency bug,review and fix the concurrency bug according to best practices,this bug requires a cloud engineer due to its nature.,2025-07-29
ui bug detected in system,this issue relates to a ui bug occurring in the application.,400.0,ui bug,cloud,angular,medium,development,mobile developer,misconfiguration or logic issue related to ui bug,review and fix the ui bug according to best practices,this bug requires a mobile developer due to its nature.,2025-12-11
ui bug detected in system,this issue relates to a ui bug occurring in the application.,503.0,ui bug,cloud,kubernetes,medium,staging,mobile developer,misconfiguration or logic issue related to ui bug,review and fix the ui bug according to best practices,this bug requires a mobile developer due to its nature.,2025-09-12
api bug detected in system,this issue relates to a api bug occurring in the application.,404.0,api bug,web development,aws,high,production,frontend developer,misconfiguration or logic issue related to api bug,review and fix the api bug according to best practices,this bug requires a frontend developer due to its nature.,2025-12-26
monitoring bug detected in system,this issue relates to a monitoring bug occurring in the application.,403.0,monitoring bug,mobile,aws,critical,development,full-stack developer,misconfiguration or logic issue related to monitoring bug,review and fix the monitoring bug according to best practices,this bug requires a full-stack developer due to its nature.,2025-03-02
ui bug detected in system,this issue relates to a ui bug occurring in the application.,503.0,ui bug,mobile,mysql,critical,development,backend developer,misconfiguration or logic issue related to ui bug,review and fix the ui bug according to best practices,this bug requires a backend developer due to its nature.,2025-02-21
backend logic bug detected in system,this issue relates to a backend logic bug occurring in the application.,404.0,backend logic bug,data,postgresql,critical,staging,frontend developer,misconfiguration or logic issue related to backend logic bug,review and fix the backend logic bug according to best practices,this bug requires a frontend developer due to its nature.,2025-12-09
cloud configuration bug detected in system,this issue relates to a cloud configuration bug occurring in the application.,401.0,cloud configuration bug,cloud,mongodb,low,staging,cloud engineer,misconfiguration or logic issue related to cloud configuration bug,review and fix the cloud configuration bug according to best practices,this bug requires a cloud engineer due to its nature.,2025-04-29
security vulnerability detected in system,this issue relates to a security vulnerability occurring in the application.,401.0,security vulnerability,data,vue,high,development,cloud engineer,misconfiguration or logic issue related to security vulnerability,review and fix the security vulnerability according to best practices,this bug requires a cloud engineer due to its nature.,2025-11-19
memory leak detected in system,this issue relates to a memory leak occurring in the application.,404.0,memory leak,devops,node.js,low,production,mobile developer,misconfiguration or logic issue related to memory leak,review and fix the memory leak according to best practices,this bug requires a mobile developer due to its nature.,2025-12-01
performance bug detected in system,this issue relates to a performance bug occurring in the application.,404.0,performance bug,data,flask,low,staging,security engineer,misconfiguration or logic issue related to performance bug,review and fix the performance bug according to best practices,this bug requires a security engineer due to its nature.,2025-04-01
cloud configuration bug detected in system,this issue relates to a cloud configuration bug occurring in the application.,502.0,cloud configuration bug,devops,docker,critical,staging,security engineer,misconfiguration or logic issue related to cloud configuration bug,review and fix the cloud configuration bug according to best practices,this bug requires a security engineer due to its nature.,2026-01-09
api bug detected in system,this issue relates to a api bug occurring in the application.,503.0,api bug,data,angular,high,development,full-stack developer,misconfiguration or logic issue related to api bug,review and fix the api bug according to best practices,this bug requires a full-stack developer due to its nature.,2025-09-03
concurrency bug detected in system,this issue relates to a concurrency bug occurring in the application.,500.0,concurrency bug,web development,spring boot,high,staging,full-stack developer,misconfiguration or logic issue related to concurrency bug,review and fix the concurrency bug according to best practices,this bug requires a full-stack developer due to its nature.,2026-01-18
authorization bug detected in system,this issue relates to a authorization bug occurring in the application.,404.0,authorization bug,web development,kubernetes,high,production,backend developer,misconfiguration or logic issue related to authorization bug,review and fix the authorization bug according to best practices,this bug requires a backend developer due to its nature.,2025-10-14
memory leak detected in system,this issue relates to a memory leak occurring in the application.,503.0,memory leak,data,flask,low,development,devops engineer,misconfiguration or logic issue related to memory leak,review and fix the memory leak according to best practices,this bug requires a devops engineer due to its nature.,2025-05-12
cloud configuration bug detected in system,this issue relates to a cloud configuration bug occurring in the application.,503.0,cloud configuration bug,mobile,angular,low,development,data engineer,misconfiguration or logic issue related to cloud configuration bug,review and fix the cloud configuration bug according to best practices,this bug requires a data engineer due to its nature.,2025-07-02
ci/cd bug detected in system,this issue relates to a ci/cd bug occurring in the application.,400.0,ci/cd bug,backend systems,azure,medium,staging,backend developer,misconfiguration or logic issue related to ci/cd bug,review and fix the ci/cd bug according to best practices,this bug requires a backend developer due to its nature.,2025-10-03
logging bug detected in system,this issue relates to a logging bug occurring in the application.,404.0,logging bug,devops,mysql,critical,production,full-stack developer,misconfiguration or logic issue related to logging bug,review and fix the logging bug according to best practices,this bug requires a full-stack developer due to its nature.,2026-01-02
ci/cd bug detected in system,this issue relates to a ci/cd bug occurring in the application.,500.0,ci/cd bug,mobile,docker,high,staging,data engineer,misconfiguration or logic issue related to ci/cd bug,review and fix the ci/cd bug according to best practices,this bug requires a data engineer due to its nature.,2025-11-03
database bug detected in system,this issue relates to a database bug occurring in the application.,503.0,database bug,web development,vue,medium,development,backend developer,misconfiguration or logic issue related to database bug,review and fix the database bug according to best practices,this bug requires a backend developer due to its nature.,2025-07-01
authorization bug detected in system,this issue relates to a authorization bug occurring in the application.,404.0,authorization bug,data,react,high,production,full-stack developer,misconfiguration or logic issue related to authorization bug,review and fix the authorization bug according to best practices,this bug requires a full-stack developer due to its nature.,2026-01-05
concurrency bug detected in system,this issue relates to a concurrency bug occurring in the application.,401.0,concurrency bug,backend systems,laravel,low,production,devops engineer,misconfiguration or logic issue related to concurrency bug,review and fix the concurrency bug according to best practices,this bug requires a devops engineer due to its nature.,2025-10-06
security vulnerability detected in system,this issue relates to a security vulnerability occurring in the application.,502.0,security vulnerability,web development,angular,medium,staging,security engineer,misconfiguration or logic issue related to security vulnerability,review and fix the security vulnerability according to best practices,this bug requires a security engineer due to its nature.,2025-02-05
ci/cd bug detected in system,this issue relates to a ci/cd bug occurring in the application.,500.0,ci/cd bug,backend systems,azure,critical,development,devops engineer,misconfiguration or logic issue related to ci/cd bug,review and fix the ci/cd bug according to best practices,this bug requires a devops engineer due to its nature.,2025-09-23
deployment bug detected in system,this issue relates to a deployment bug occurring in the application.,400.0,deployment bug,backend systems,vue,critical,production,full-stack developer,misconfiguration or logic issue related to deployment bug,review and fix the deployment bug according to best practices,this bug requires a full-stack developer due to its nature.,2025-11-15
authentication bug detected in system,this issue relates to a authentication bug occurring in the application.,403.0,authentication bug,web development,angular,high,development,cloud engineer,misconfiguration or logic issue related to authentication bug,review and fix the authentication bug according to best practices,this bug requires a cloud engineer due to its nature.,2025-08-29
memory leak detected in system,this issue relates to a memory leak occurring in the application.,404.0,memory leak,backend systems,spring boot,high,development,qa engineer,misconfiguration or logic issue related to memory leak,review and fix the memory leak according to best practices,this bug requires a qa engineer due to its nature.,2025-06-06
monitoring bug detected in system,this issue relates to a monitoring bug occurring in the application.,401.0,monitoring bug,backend systems,docker,high,production,qa engineer,misconfiguration or logic issue related to monitoring bug,review and fix the monitoring bug according to best practices,this bug requires a qa engineer due to its nature.,2025-12-02
api bug detected in system,this issue relates to a api bug occurring in the application.,403.0,api bug,data,docker,medium,staging,backend developer,misconfiguration or logic issue related to api bug,review and fix the api bug according to best practices,this bug requires a backend developer due to its nature.,2025-08-20
monitoring bug detected in system,this issue relates to a monitoring bug occurring in the application.,400.0,monitoring bug,data,angular,low,staging,cloud engineer,misconfiguration or logic issue related to monitoring bug,review and fix the monitoring bug according to best practices,this bug requires a cloud engineer due to its nature.,2025-07-08
frontend routing bug detected in system,this issue relates to a frontend routing bug occurring in the application.,400.0,frontend routing bug,cloud,azure,low,development,cloud engineer,misconfiguration or logic issue related to frontend routing bug,review and fix the frontend routing bug according to best practices,this bug requires a cloud engineer due to its nature.,2025-12-25
frontend routing bug detected in system,this issue relates to a frontend routing bug occurring in the application.,503.0,frontend routing bug,devops,azure,high,production,cloud engineer,misconfiguration or logic issue related to frontend routing bug,review and fix the frontend routing bug according to best practices,this bug requires a cloud engineer due to its nature.,2025-09-23
api bug detected in system,this issue relates to a api bug occurring in the application.,404.0,api bug,devops,spring boot,medium,staging,security engineer,misconfiguration or logic issue related to api bug,review and fix the api bug according to best practices,this bug requires a security engineer due to its nature.,2025-10-11
ci/cd bug detected in system,this issue relates to a ci/cd bug occurring in the application.,404.0,ci/cd bug,web development,vue,high,production,data engineer,misconfiguration or logic issue related to ci/cd bug,review and fix the ci/cd bug according to best practices,this bug requires a data engineer due to its nature.,2025-04-28
backend logic bug detected in system,this issue relates to a backend logic bug occurring in the application.,503.0,backend logic bug,cloud,docker,medium,staging,security engineer,misconfiguration or logic issue related to backend logic bug,review and fix the backend logic bug according to best practices,this bug requires a security engineer due to its nature.,2026-01-25
memory leak detected in system,this issue relates to a memory leak occurring in the application.,503.0,memory leak,mobile,azure,high,development,qa engineer,misconfiguration or logic issue related to memory leak,review and fix the memory leak according to best practices,this bug requires a qa engineer due to its nature.,2025-03-18
deployment bug detected in system,this issue relates to a deployment bug occurring in the application.,503.0,deployment bug,devops,mongodb,low,staging,devops engineer,misconfiguration or logic issue related to deployment bug,review and fix the deployment bug according to best practices,this bug requires a devops engineer due to its nature.,2026-01-17
api bug detected in system,this issue relates to a api bug occurring in the application.,401.0,api bug,data,aws,medium,development,security engineer,misconfiguration or logic issue related to api bug,review and fix the api bug according to best practices,this bug requires a security engineer due to its nature.,2025-10-18
backend logic bug detected in system,this issue relates to a backend logic bug occurring in the application.,401.0,backend logic bug,mobile,mongodb,low,development,security engineer,misconfiguration or logic issue related to backend logic bug,review and fix the backend logic bug according to best practices,this bug requires a security engineer due to its nature.,2025-07-19
database bug detected in system,this issue relates to a database bug occurring in the application.,401.0,database bug,backend systems,azure,low,development,mobile developer,misconfiguration or logic issue related to database bug,review and fix the database bug according to best practices,this bug requires a mobile developer due to its nature.,2025-03-26
security vulnerability detected in system,this issue relates to a security vulnerability occurring in the application.,503.0,security vulnerability,data,spring boot,low,production,data engineer,misconfiguration or logic issue related to security vulnerability,review and fix the security vulnerability according to best practices,this bug requires a data engineer due to its nature.,2025-05-07
frontend routing bug detected in system,this issue relates to a frontend routing bug occurring in the application.,403.0,frontend routing bug,cloud,spring boot,low,staging,mobile developer,misconfiguration or logic issue related to frontend routing bug,review and fix the frontend routing bug according to best practices,this bug requires a mobile developer due to its nature.,2025-04-13
monitoring bug detected in system,this issue relates to a monitoring bug occurring in the application.,403.0,monitoring bug,web development,django,critical,production,cloud engineer,misconfiguration or logic issue related to monitoring bug,review and fix the monitoring bug according to best practices,this bug requires a cloud engineer due to its nature.,2025-12-04
backend logic bug detected in system,this issue relates to a backend logic bug occurring in the application.,404.0,backend logic bug,devops,gcp,low,staging,frontend developer,misconfiguration or logic issue related to backend logic bug,review and fix the backend logic bug according to best practices,this bug requires a frontend developer due to its nature.,2025-05-30
memory leak detected in system,this issue relates to a memory leak occurring in the application.,500.0,memory leak,mobile,mysql,medium,production,full-stack developer,misconfiguration or logic issue related to memory leak,review and fix the memory leak according to best practices,this bug requires a full-stack developer due to its nature.,2025-11-27
memory leak detected in system,this issue relates to a memory leak occurring in the application.,401.0,memory leak,data,react,high,staging,devops engineer,misconfiguration or logic issue related to memory leak,review and fix the memory leak according to best practices,this bug requires a devops engineer due to its nature.,2025-06-29
backend logic bug detected in system,this issue relates to a backend logic bug occurring in the application.,400.0,backend logic bug,web development,spring boot,high,staging,frontend developer,misconfiguration or logic issue related to backend logic bug,review and fix the backend logic bug according to best practices,this bug requires a frontend developer due to its nature.,2025-12-04
ci/cd bug detected in system,this issue relates to a ci/cd bug occurring in the application.,502.0,ci/cd bug,backend systems,flask,medium,development,full-stack developer,misconfiguration or logic issue related to ci/cd bug,review and fix the ci/cd bug according to best practices,this bug requires a full-stack developer due to its nature.,2025-02-24
concurrency bug detected in system,this issue relates to a concurrency bug occurring in the application.,503.0,concurrency bug,backend systems,postgresql,low,production,frontend developer,misconfiguration or logic issue related to concurrency bug,review and fix the concurrency bug according to best practices,this bug requires a frontend developer due to its nature.,2025-09-19
logging bug detected in system,this issue relates to a logging bug occurring in the application.,500.0,logging bug,devops,django,critical,staging,cloud engineer,misconfiguration or logic issue related to logging bug,review and fix the logging bug according to best practices,this bug requires a cloud engineer due to its nature.,2025-12-22
backend logic bug detected in system,this issue relates to a backend logic bug occurring in the application.,403.0,backend logic bug,backend systems,spring boot,high,development,backend developer,misconfiguration or logic issue related to backend logic bug,review and fix the backend logic bug according to best practices,this bug requires a backend developer due to its nature.,2025-10-15
ui bug detected in system,this issue relates to a ui bug occurring in the application.,503.0,ui bug,backend systems,kubernetes,medium,staging,cloud engineer,misconfiguration or logic issue related to ui bug,review and fix the ui bug according to best practices,this bug requires a cloud engineer due to its nature.,2025-03-12
logging bug detected in system,this issue relates to a logging bug occurring in the application.,404.0,logging bug,cloud,vue,critical,production,qa engineer,misconfiguration or logic issue related to logging bug,review and fix the logging bug according to best practices,this bug requires a qa engineer due to its nature.,2025-03-30
frontend routing bug detected in system,this issue relates to a frontend routing bug occurring in the application.,502.0,frontend routing bug,mobile,flask,medium,production,qa engineer,misconfiguration or logic issue related to frontend routing bug,review and fix the frontend routing bug according to best practices,this bug requires a qa engineer due to its nature.,2025-05-31
authorization bug detected in system,this issue relates to a authorization bug occurring in the application.,403.0,authorization bug,devops,gcp,high,development,mobile developer,misconfiguration or logic issue related to authorization bug,review and fix the authorization bug according to best practices,this bug requires a mobile developer due to its nature.,2025-08-25
cloud configuration bug detected in system,this issue relates to a cloud configuration bug occurring in the application.,403.0,cloud configuration bug,mobile,laravel,high,production,frontend developer,misconfiguration or logic issue related to cloud configuration bug,review and fix the cloud configuration bug according to best practices,this bug requires a frontend developer due to its nature.,2025-07-06
ui bug detected in system,this issue relates to a ui bug occurring in the application.,503.0,ui bug,devops,spring boot,low,staging,backend developer,misconfiguration or logic issue related to ui bug,review and fix the ui bug according to best practices,this bug requires a backend developer due to its nature.,2025-08-14
concurrency bug detected in system,this issue relates to a concurrency bug occurring in the application.,503.0,concurrency bug,mobile,laravel,medium,development,data engineer,misconfiguration or logic issue related to concurrency bug,review and fix the concurrency bug according to best practices,this bug requires a data engineer due to its nature.,2025-03-18
authentication bug detected in system,this issue relates to a authentication bug occurring in the application.,400.0,authentication bug,web development,spring boot,critical,staging,full-stack developer,misconfiguration or logic issue related to authentication bug,review and fix the authentication bug according to best practices,this bug requires a full-stack developer due to its nature.,2025-08-05
backend logic bug detected in system,this issue relates to a backend logic bug occurring in the application.,500.0,backend logic bug,data,azure,medium,development,devops engineer,misconfiguration or logic issue related to backend logic bug,review and fix the backend logic bug according to best practices,this bug requires a devops engineer due to its nature.,2025-12-22
ui bug detected in system,this issue relates to a ui bug occurring in the application.,503.0,ui bug,cloud,flask,low,staging,frontend developer,misconfiguration or logic issue related to ui bug,review and fix the ui bug according to best practices,this bug requires a frontend developer due to its nature.,2026-01-16
monitoring bug detected in system,this issue relates to a monitoring bug occurring in the application.,502.0,monitoring bug,devops,mongodb,critical,development,full-stack developer,misconfiguration or logic issue related to monitoring bug,review and fix the monitoring bug according to best practices,this bug requires a full-stack developer due to its nature.,2025-02-17
concurrency bug detected in system,this issue relates to a concurrency bug occurring in the application.,400.0,concurrency bug,data,flask,medium,staging,devops engineer,misconfiguration or logic issue related to concurrency bug,review and fix the concurrency bug according to best practices,this bug requires a devops engineer due to its nature.,2025-09-25
performance bug detected in system,this issue relates to a performance bug occurring in the application.,400.0,performance bug,mobile,kubernetes,critical,production,backend developer,misconfiguration or logic issue related to performance bug,review and fix the performance bug according to best practices,this bug requires a backend developer due to its nature.,2025-09-05
cloud configuration bug detected in system,this issue relates to a cloud configuration bug occurring in the application.,502.0,cloud configuration bug,data,node.js,low,production,mobile developer,misconfiguration or logic issue related to cloud configuration bug,review and fix the cloud configuration bug according to best practices,this bug requires a mobile developer due to its nature.,2025-06-12
logging bug detected in system,this issue relates to a logging bug occurring in the application.,404.0,logging bug,mobile,vue,high,development,devops engineer,misconfiguration or logic issue related to logging bug,review and fix the logging bug according to best practices,this bug requires a devops engineer due to its nature.,2025-07-11
frontend routing bug detected in system,this issue relates to a frontend routing bug occurring in the application.,500.0,frontend routing bug,web development,react,low,production,full-stack developer,misconfiguration or logic issue related to frontend routing bug,review and fix the frontend routing bug according to best practices,this bug requires a full-stack developer due to its nature.,2025-05-13
ci/cd bug detected in system,this issue relates to a ci/cd bug occurring in the application.,500.0,ci/cd bug,devops,azure,low,development,frontend developer,misconfiguration or logic issue related to ci/cd bug,review and fix the ci/cd bug according to best practices,this bug requires a frontend developer due to its nature.,2025-09-25
deployment bug detected in system,this issue relates to a deployment bug occurring in the application.,403.0,deployment bug,web development,django,low,production,frontend developer,misconfiguration or logic issue related to deployment bug,review and fix the deployment bug according to best practices,this bug requires a frontend developer due to its nature.,2025-05-06
database bug detected in system,this issue relates to a database bug occurring in the application.,502.0,database bug,web development,gcp,critical,development,mobile developer,misconfiguration or logic issue related to database bug,review and fix the database bug according to best practices,this bug requires a mobile developer due to its nature.,2025-06-13
ci/cd bug detected in system,this issue relates to a ci/cd bug occurring in the application.,404.0,ci/cd bug,web development,mysql,medium,development,backend developer,misconfiguration or logic issue related to ci/cd bug,review and fix the ci/cd bug according to best practices,this bug requires a backend developer due to its nature.,2025-08-02
monitoring bug detected in system,this issue relates to a monitoring bug occurring in the application.,401.0,monitoring bug,data,spring boot,high,development,full-stack developer,misconfiguration or logic issue related to monitoring bug,review and fix the monitoring bug according to best practices,this bug requires a full-stack developer due to its nature.,2026-01-21
security vulnerability detected in system,this issue relates to a security vulnerability occurring in the application.,400.0,security vulnerability,backend systems,node.js,high,production,frontend developer,misconfiguration or logic issue related to security vulnerability,review and fix the security vulnerability according to best practices,this bug requires a frontend developer due to its nature.,2025-07-01
security vulnerability detected in system,this issue relates to a security vulnerability occurring in the application.,502.0,security vulnerability,cloud,laravel,high,production,devops engineer,misconfiguration or logic issue related to security vulnerability,review and fix the security vulnerability according to best practices,this bug requires a devops engineer due to its nature.,2025-07-18
performance bug detected in system,this issue relates to a performance bug occurring in the application.,502.0,performance bug,devops,mysql,low,production,cloud engineer,misconfiguration or logic issue related to performance bug,review and fix the performance bug according to best practices,this bug requires a cloud engineer due to its nature.,2026-01-23
memory leak detected in system,this issue relates to a memory leak occurring in the application.,502.0,memory leak,devops,aws,high,development,full-stack developer,misconfiguration or logic issue related to memory leak,review and fix the memory leak according to best practices,this bug requires a full-stack developer due to its nature.,2026-02-01
security vulnerability detected in system,this issue relates to a security vulnerability occurring in the application.,404.0,security vulnerability,web development,react,high,staging,data engineer,misconfiguration or logic issue related to security vulnerability,review and fix the security vulnerability according to best practices,this bug requires a data engineer due to its nature.,2025-03-20
authentication bug detected in system,this issue relates to a authentication bug occurring in the application.,500.0,authentication bug,mobile,vue,low,staging,qa engineer,misconfiguration or logic issue related to authentication bug,review and fix the authentication bug according to best practices,this bug requires a qa engineer due to its nature.,2025-08-03
logging bug detected in system,this issue relates to a logging bug occurring in the application.,502.0,logging bug,mobile,mongodb,medium,production,data engineer,misconfiguration or logic issue related to logging bug,review and fix the logging bug according to best practices,this bug requires a data engineer due to its nature.,2026-01-05
database bug detected in system,this issue relates to a database bug occurring in the application.,403.0,database bug,backend systems,react,low,development,frontend developer,misconfiguration or logic issue related to database bug,review and fix the database bug according to best practices,this bug requires a frontend developer due to its nature.,2025-07-23
authentication bug detected in system,this issue relates to a authentication bug occurring in the application.,404.0,authentication bug,backend systems,aws,medium,production,devops engineer,misconfiguration or logic issue related to authentication bug,review and fix the authentication bug according to best practices,this bug requires a devops engineer due to its nature.,2025-10-07
authentication bug detected in system,this issue relates to a authentication bug occurring in the application.,404.0,authentication bug,devops,django,critical,production,security engineer,misconfiguration or logic issue related to authentication bug,review and fix the authentication bug according to best practices,this bug requires a security engineer due to its nature.,2025-08-21
security vulnerability detected in system,this issue relates to a security vulnerability occurring in the application.,500.0,security vulnerability,devops,spring boot,critical,production,cloud engineer,misconfiguration or logic issue related to security vulnerability,review and fix the security vulnerability according to best practices,this bug requires a cloud engineer due to its nature.,2025-08-05
cloud configuration bug detected in system,this issue relates to a cloud configuration bug occurring in the application.,403.0,cloud configuration bug,backend systems,mongodb,low,staging,qa engineer,misconfiguration or logic issue related to cloud configuration bug,review and fix the cloud configuration bug according to best practices,this bug requires a qa engineer due to its nature.,2025-03-09
security vulnerability detected in system,this issue relates to a security vulnerability occurring in the application.,502.0,security vulnerability,data,django,medium,staging,mobile developer,misconfiguration or logic issue related to security vulnerability,review and fix the security vulnerability according to best practices,this bug requires a mobile developer due to its nature.,2025-11-16
ui bug detected in system,this issue relates to a ui bug occurring in the application.,403.0,ui bug,backend systems,postgresql,low,staging,data engineer,misconfiguration or logic issue related to ui bug,review and fix the ui bug according to best practices,this bug requires a data engineer due to its nature.,2025-07-15
monitoring bug detected in system,this issue relates to a monitoring bug occurring in the application.,404.0,monitoring bug,devops,mongodb,medium,development,data engineer,misconfiguration or logic issue related to monitoring bug,review and fix the monitoring bug according to best practices,this bug requires a data engineer due to its nature.,2025-04-16
performance bug detected in system,this issue relates to a performance bug occurring in the application.,400.0,performance bug,devops,postgresql,high,development,data engineer,misconfiguration or logic issue related to performance bug,review and fix the performance bug according to best practices,this bug requires a data engineer due to its nature.,2025-11-01
backend logic bug detected in system,this issue relates to a backend logic bug occurring in the application.,403.0,backend logic bug,data,aws,critical,production,data engineer,misconfiguration or logic issue related to backend logic bug,review and fix the backend logic bug according to best practices,this bug requires a data engineer due to its nature.,2025-08-14
concurrency bug detected in system,this issue relates to a concurrency bug occurring in the application.,401.0,concurrency bug,devops,django,high,production,devops engineer,misconfiguration or logic issue related to concurrency bug,review and fix the concurrency bug according to best practices,this bug requires a devops engineer due to its nature.,2025-05-30
authentication bug detected in system,this issue relates to a authentication bug occurring in the application.,400.0,authentication bug,data,azure,critical,production,cloud engineer,misconfiguration or logic issue related to authentication bug,review and fix the authentication bug according to best practices,this bug requires a cloud engineer due to its nature.,2025-05-27
ci/cd bug detected in system,this issue relates to a ci/cd bug occurring in the application.,404.0,ci/cd bug,mobile,laravel,critical,staging,frontend developer,misconfiguration or logic issue related to ci/cd bug,review and fix the ci/cd bug according to best practices,this bug requires a frontend developer due to its nature.,2025-08-12
database bug detected in system,this issue relates to a database bug occurring in the application.,404.0,database bug,cloud,django,critical,production,mobile developer,misconfiguration or logic issue related to database bug,review and fix the database bug according to best practices,this bug requires a mobile developer due to its nature.,2025-05-12
memory leak detected in system,this issue relates to a memory leak occurring in the application.,400.0,memory leak,devops,azure,low,production,security engineer,misconfiguration or logic issue related to memory leak,review and fix the memory leak according to best practices,this bug requires a security engineer due to its nature.,2025-09-19
backend logic bug detected in system,this issue relates to a backend logic bug occurring in the application.,500.0,backend logic bug,web development,django,medium,staging,backend developer,misconfiguration or logic issue related to backend logic bug,review and fix the backend logic bug according to best practices,this bug requires a backend developer due to its nature.,2025-11-01
authentication bug detected in system,this issue relates to a authentication bug occurring in the application.,502.0,authentication bug,mobile,node.js,high,staging,data engineer,misconfiguration or logic issue related to authentication bug,review and fix the authentication bug according to best practices,this bug requires a data engineer due to its nature.,2025-09-24
logging bug detected in system,this issue relates to a logging bug occurring in the application.,403.0,logging bug,backend systems,azure,low,staging,frontend developer,misconfiguration or logic issue related to logging bug,review and fix the logging bug according to best practices,this bug requires a frontend developer due to its nature.,2025-04-26
security vulnerability detected in system,this issue relates to a security vulnerability occurring in the application.,500.0,security vulnerability,devops,postgresql,medium,production,data engineer,misconfiguration or logic issue related to security vulnerability,review and fix the security vulnerability according to best practices,this bug requires a data engineer due to its nature.,2025-08-22
security vulnerability detected in system,this issue relates to a security vulnerability occurring in the application.,400.0,security vulnerability,cloud,aws,medium,development,frontend developer,misconfiguration or logic issue related to security vulnerability,review and fix the security vulnerability according to best practices,this bug requires a frontend developer due to its nature.,2025-12-07
logging bug detected in system,this issue relates to a logging bug occurring in the application.,401.0,logging bug,web development,mysql,critical,development,full-stack developer,misconfiguration or logic issue related to logging bug,review and fix the logging bug according to best practices,this bug requires a full-stack developer due to its nature.,2025-06-13
logging bug detected in system,this issue relates to a logging bug occurring in the application.,502.0,logging bug,web development,react,high,development,cloud engineer,misconfiguration or logic issue related to logging bug,review and fix the logging bug according to best practices,this bug requires a cloud engineer due to its nature.,2025-11-03
ui bug detected in system,this issue relates to a ui bug occurring in the application.,401.0,ui bug,backend systems,spring boot,high,development,mobile developer,misconfiguration or logic issue related to ui bug,review and fix the ui bug according to best practices,this bug requires a mobile developer due to its nature.,2025-10-06
